Company_Name,Company_Profile,Overview,Website,Phone,Industry,Company_size,Company_size_Linkedin,Headquarters,Founded,Specialties
Scribble Ventures,https://www.linkedin.com/company/67207357/about/,"Scribble Ventures is an early-stage investment fund that focuses on Pre-Seed through Series A. We write initial checks of $300-750k — a sweet spot that allows Scribble to collaborate and co-invest with other strong angel investors and seed funds. Through our network of operators, executives, and investors, we help accelerate growth, recruiting, and future fundraising for our companies.",https://www.scribble.vc/,,Venture Capital and Private Equity Principals,2-10 employees,6 employees on LinkedIn,"Portola Valley, CA",2020,
Certn,https://www.linkedin.com/company/17891142/about/,"Certn is the leader in people intelligence solutions, using a people first mentality, our focus is on providing real-time comprehensive background checks and ongoing risk monitoring for employees, contractors and tenants around the world.
Used by leading employers, staffing firms, property management companies, and the gig economy, Certn returns domestic and international criminal background checks, credit reports, reference checks, education verification, employment verification, motor vehicle records, identity verification and more, in just minutes. Through innovative, friendly, and compliant technology, Certn can help you build trust through vital connections around the world.",http://www.certn.co,1 (844) 987-0690,IT Services and IT Consulting,51-200 employees,230 employees on LinkedIn,"Victoria, British Columbia",2016,"Risk Management, Credit Screening, Alternative Credit, Artificial Intelligence, Machine Learning, Algorithms, Credit, Social Credit, and Underbanked"
Runa,https://www.linkedin.com/company/22316561/about/,"Runa is a modern, cloud-based payroll and human resources software built for companies in Latin America. Companies can manage payroll, human resources, time tracking, performance management and reporting all in one platform.",http://www.runahr.com,,Human Resources Services,51-200 employees,187 employees on LinkedIn,"Polanco Reforma, Federal District",,"nómina, recursoshumanos, and seguros"
"Warmly,",https://www.linkedin.com/company/30583455/about/,"🌅 Have 2x better meetings with a personalized Virtual Business Card that acts as an immediate ice breaker on calls. Skip the formal “intros” and have your customized background signature showcase a bit about you. Need to impress for a call? Add the company logo of your prospects above your shoulder with a click.

👨‍👩‍👦‍👦 Look more professional as a team with a “virtual uniform”. Match backgrounds, logos & more. Team selling is not just 4 independent people showing up at different times - it’s your opportunity to stand out.

📆 Never prep for a meeting again with instant insights right in your calendar. Skip the Google search and supercharge your calendar with info on everyone you're meeting with. 

🥇 Winner of the 2021 Zoomtopia Innovation Award for best use of Zoom’s platform. Voted top 3 free Zoom App by Fast Company.",http://warmly.ai/,,Software Development,11-50 employees,23 employees on LinkedIn,,,
TrueNorth,https://www.linkedin.com/company/10665055/about/,"TrueNorth is one of the most successful fintech software development companies in the world having built three fintech unicorns from scratch, including Upgrade. The company specializes in building digital solutions, including 45 original enterprises, 120 digital transformations and 40 product revamps. 

TrueNorth’s unique Team Captain client-focused process enables our most senior engineers to navigate and apply the latest technologies to develop cutting-edge digital solutions for neobanks, fintechs, banks, credit unions, payment companies, lending firms, wealth management firms, and insurance companies. 

CEO Alex Gonikman, a veteran software architect, leads a staff of more than 170 employees with the company’s headquarters in New York City and development centers across the globe.",https://truenorth.co/,1-877-525-8783,IT Services and IT Consulting,51-200 employees,147 employees on LinkedIn,"New York City, NY",2015,"Software Development, FinTech, Software Design, Agile Teams, Technology Services, Frontend developers, Backend developers, Product Architecture, Mobile Development, Technology Migration, Custom Software Development, QA, UI/UX, Financial Services, Consulting, Neobanks, Banks, and Credit Unions"
Whatnot,https://www.linkedin.com/company/52160608/about/,"Whatnot: Buy, Sell & Go Live",http://www.whatnot.com,,"Technology, Information and Internet",201-500 employees,262 employees on LinkedIn,"Los Angeles, California",2019,
Titan,https://www.linkedin.com/company/11249478/about/,"“One of 2021’s Next Billion-Dollar Startups.” —Forbes Magazine, October 2021.

Your long-term wealth is our full-time job. Titan is investing done right: by experts, for you.

We’re actively hiring across all teams. Join us at titan.com/careers.

Follow us on LinkedIn to ride shotgun with our award-winning investment team and to learn more about our current and upcoming opportunities. 

You can also follow us on Twitter, Facebook, Instagram, and TikTok @titanvest.

Getting invested takes minutes. Download the Titan app today: titan.com

Not investing advice, no guarantee of future results. See disclosures.",http://www.titan.com,,Financial Services,51-200 employees,215 employees on LinkedIn,"New York, New York",,
Stanford University Graduate School of Business,https://www.linkedin.com/company/1791/about/,"The Stanford Graduate School of Business empowers individuals to envision what is possible and make it happen through principled leadership and creative problem solving. The school has built a global reputation based on its management and leadership programs, including the two-year MBA; the one-year MSx Program; the PhD Program; Stanford Ignite, a part-time program in innovation and entrepreneurship; and Executive Education. Each program creates an experience that transforms people and prepares them to change lives, change organizations, and change the world. Programs engage the highest quality students with world-class faculty from across Stanford University’s seven schools, as well as alumni, Silicon Valley professionals, global executives, and the broader world community. The state-of-the-art Knight Management Center offers flexible classroom spaces for hands-on experiential learning, small-group leadership labs, and team-based learning. It also serves as a convening space for major forums and discussions.",http://www.gsb.stanford.edu,6507232146,Higher Education,201-500 employees,"2,448 employees on LinkedIn","Stanford, CA",,"social innovation, entrepreneurship, global awareness, leadership, business, management, business school, and education"
Paperwheel,https://www.linkedin.com/company/42352720/about/,"Letterpress and design studio. 

Paperwheel Press is a letterpress print studio nestled in Portola Valley, California. Elizabeth Weil founded Paperwheel in 2006 after falling in love with a single letterpress business card while working in venture capital on Sand Hill Road. She started learning anything she could about the lost art of printing. Elizabeth combined her passions for hand-crafted tactile letterpress printing and the lasting art of the handwritten note to create simple, yet impactful, greeting cards and custom-designed wedding invitations, announcements, personal stationery, and more.

Elizabeth trail runs each morning, is an investor in the Silicon Valley by day, and prints and designs by night, weekends, and any other second she gets. She is an ultra-marathon runner, and in fact swears that that’s when she thinks of her best ideas.

The Paperwheel studio is home to a 1923 and a 1929 Chandler and Price Platen Press and an old-school guillotine paper cutter.

Paperwheel Press is a reflection of the little things that make up Elizabeth’s style, spirit, and energy.",https://paperwheel.com,,Manufacturing,2-10 employees,3 employees on LinkedIn,,2016,
the LEGO Group,https://www.linkedin.com/company/3724/about/,"At the LEGO Group, our mission is to inspire and develop the builders of tomorrow. We believe in the power of Learning-through-Play to shape children’s future. Through play, children learn skills – such as problem-solving, communication, creativity, collaboration, and resilience – that will help them reach their full potential.  

The LEGO® System-in-Play, with its foundation in LEGO bricks, allows children and fans of all ages to build and rebuild anything they can imagine. The LEGO name derives from the two Danish words ‘Leg Godt’, which means ‘Play Well.’

The LEGO Group was founded in Billund, Denmark, in 1932, by Ole Kirk Kristiansen. We still are a family-owned company with headquarters in Billund. Our play experiences are sold in more than 120 countries, and we are more than 20,000 colleagues worldwide working to achieve our ambition to bring Learning-through-Play to children everywhere.",http://www.lego.com,,Manufacturing,"10,001+ employees","14,395 employees on LinkedIn",,,"LEGO Bricks, Educational concepts, Consumer Experiences, Digital Play Experiences, Learning-through-Play, Creativity, and Imagination"
